,id,name,current_price,market_cap,total_volume,max_supply,price_change_percentage_24h,circulating_supply
0,bitcoin,Bitcoin,76507.0,1533277467419,33285343616.0,21000000.0,-1.40934,20021793.0
1,ethereum,Ethereum,2272.82,274506054614,14492067695.0,,-1.91983,120688270.8382775
2,tether,Tether,0.999885,189712695305,57128572123.0,,-0.01997,189732931140.392
3,ripple,XRP,1.39,85599699229,1838960230.0,100000000000.0,-2.15565,61684942428.0
4,binancecoin,BNB,622.35,83931297076,868015184.0,200000000.0,-0.57157,134786231.69
5,usd-coin,USDC,0.999781,77587617226,12899372823.0,,-0.00721,77600570363.33447
6,solana,Solana,83.75,48295107227,3227683546.0,,-2.17213,575970250.6192409
7,tron,TRON,0.323583,30664298422,464801807.0,,-0.02653,94783841775.44359
8,figure-heloc,Figure Heloc,1.031,17627082991,23762894.0,,1.23637,17103440631.897
9,dogecoin,Dogecoin,0.099213,15304339049,1657751337.0,,1.39011,154013106383.7052
10,whitebit,WhiteBIT Coin,54.08,11551598961,75831070.0,400000000.0,-1.32401,213418274.0
11,usds,USDS,0.999622,11028261667,27852351.0,,-0.00113,11032116180.39268
12,hyperliquid,Hyperliquid,40.36,9632856308,254843557.0,1000000000.0,-4.88271,238385315.9541414
13,leo-token,LEO Token,10.37,9543773066,289242.0,,-0.05909,920739456.9
14,cardano,Cardano,0.245654,9094752847,304333018.0,45000000000.0,-0.71298,36968110460.71545
15,bitcoin-cash,Bitcoin Cash,445.4,8921769355,154371947.0,21000000.0,-0.42165,20027153.02165078
16,monero,Monero,375.97,6938313592,133435303.0,,-2.13005,18446744.07370955
17,chainlink,Chainlink,9.22,6709773085,205837893.0,1000000000.0,-1.06581,727099970.4523476
18,canton-network,Canton,0.149453,5738396359,7082097.0,,-0.28647,38405853287.48317
19,zcash,Zcash,335.9,5606135665,509455788.0,21000000.0,-5.40696,16681307.9780448
20,stellar,Stellar,0.164469,5478695797,100176289.0,,-2.33556,33295235117.98411
21,memecore,MemeCore,3.55,4609061196,16105670.0,10000000000.0,-15.80176,1295203620.143494
22,usd1-wlfi,USD1,0.999723,4427640988,831902506.0,,0.00095,4428549656.064699
23,dai,Dai,0.999851,4414138705,13204488.0,,0.03454,4414834482.51093
24,litecoin,Litecoin,55.1,4249429109,274905324.0,84000000.0,-0.65502,77098558.23347135
25,avalanche-2,Avalanche,9.16,3958055599,166994122.0,720000000.0,-0.96906,431771961.1772119
26,hedera-hashgraph,Hedera,0.088864,3857755000,59377279.0,50000000000.0,-2.18893,43373141655.43446
